jobID,user,account,jobname,queue,walltime,exit_status,start,end,submit,nnodes,ncpus
jobID8720825,USER5558,ACCOUNT2349,JOB1470383,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 01:05:24,0,16
jobID8720826,USER5558,ACCOUNT2349,JOB1470384,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 02:53:29,0,16
jobID8720827,USER5558,ACCOUNT2349,JOB1470385,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 01:05:16,0,16
jobID8720828,USER5558,ACCOUNT2349,JOB1470386,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 05:00:09,0,16
jobID8720829,USER5558,ACCOUNT2349,JOB1470387,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 04:00:13,0,16
jobID8720830,USER5558,ACCOUNT2349,JOB1470388,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 12:35:15,0,16
jobID8720831,USER5558,ACCOUNT2349,JOB1470389,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 04:59:54,0,16
jobID8720832,USER5558,ACCOUNT2349,JOB1470390,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 12:35:23,0,16
jobID8720833,USER5558,ACCOUNT2349,JOB1470391,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 02:53:41,0,16
jobID8720834,USER5558,ACCOUNT2349,JOB1470392,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/28/2018 04:00:14,0,16
jobID8720835,USER5558,ACCOUNT2349,JOB1470393,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/29/2018 02:47:53,0,16
jobID8720836,USER5558,ACCOUNT2349,JOB1470394,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/29/2018 02:47:54,0,16
jobID8720837,USER5558,ACCOUNT2349,JOB1470395,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/29/2018 07:23:38,0,16
jobID8720838,USER5558,ACCOUNT2349,JOB1470396,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/29/2018 07:23:47,0,16
jobID8720839,USER5558,ACCOUNT2349,JOB1470397,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/30/2018 11:30:26,0,16
jobID8720840,USER5558,ACCOUNT2349,JOB1470398,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/29/2018 16:51:28,0,16
jobID8720841,USER5558,ACCOUNT2349,JOB1470399,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/30/2018 11:30:26,0,16
jobID8720842,USER5558,ACCOUNT2349,JOB1470400,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/30/2018 11:30:27,0,16
jobID8720843,USER5558,ACCOUNT2349,JOB1470401,QUEUE4,2880,CANCELLED,05/02/2018 13:53:10,05/02/2018 13:53:10,04/30/2018 11:30:34,0,16
jobID8720844,USER7661,ACCOUNT916,JOB1212711,QUEUE4,60,CANCELLED,05/17/2018 15:38:13,05/17/2018 15:38:13,05/14/2018 18:26:41,0,16
jobID8720845,USER7661,ACCOUNT916,JOB1212711,QUEUE4,60,CANCELLED,05/17/2018 15:38:13,05/17/2018 15:38:13,05/14/2018 18:40:37,0,16
